Material;Official?;Color or proxy
A/C Sheets;;metal
asbestos;yes;metal
Asbestos;;metal
asphalt;yes;#656565
bamboo;yes;#e1c770
brick;;#af5f46
cadjan_palmyrah_straw;;thatch
cgi;;metal
concrete;yes;#c3c3c3
copper;yes;#a0ddaf
corrugated_iron_sheets;;metal
eternit;yes;metal
glass;yes;#96b2d6
grass;yes;#759142
gravel;yes;stone
metal;yes;#a4a4a4
Metal;;metal
metal sheet;;metal
metal_sheet;;metal
palm_leaves;yes;thatch
plants;yes;grass
plastic;yes;#ffffff
rcc;;concrete
roof_tiles;yes;#bf7e57
shadecloth;yes;#ffffff
slate;yes;#656565
steel;;metal
stone;yes;#b4ac97
tar_paper;yes;asphalt
thatch;yes;#ae8d5d
tile;;roof_tiles
tiles;;roof_tiles
tin;;metal
Tin;;metal
wood;yes;#846445
wooden;;wood
zinc;;metal
zink;;metal
